distance,read_0,read_1,read_2,read_3,read_4,read_5,read_6,read_7,read_8,read_9
16.0,159,137,155,148,161,221,213,301,311,267,
16.1,292,313,288,305,264,300,305,211,193,168,
16.2,140,133,136,149,133,212,187,249,248,293,
16.3,307,305,299,288,281,301,269,266,229,171,
16.4,144,136,144,169,165,241,229,296,257,281,
16.5,291,293,294,257,277,213,240,176,217,161,
16.6,164,161,169,155,187,217,305,263,265,308,
16.7,301,293,293,244,325,259,189,226,165,140,
16.8,148,138,137,157,249,281,259,229,290,285,
16.9,277,271,241,291,241,296,201,209,153,153,
17.0,144,139,173,177,207,216,319,261,305,296,
17.1,285,280,244,336,261,236,217,169,157,157,
17.2,159,159,176,213,217,256,256,281,297,305,
17.3,296,256,295,241,265,187,180,176,145,153,
17.4,137,157,224,201,214,257,315,285,291,277,
17.5,293,281,252,261,193,221,159,145,134,158,
17.6,145,184,239,287,234,264,271,296,307,291,
17.7,296,251,268,226,281,206,167,149,154,152,
17.8,184,197,224,247,284,293,345,337,329,344,
17.9,337,370,301,275,235,205,197,200,221,229,
18.0,243,288,297,298,316,345,380,371,389,345,
18.1,331,344,360,284,250,223,256,233,227,247,
18.2,304,313,382,345,413,377,401,372,369,351,
18.3,431,345,311,288,286,213,212,227,233,261,
18.4,341,301,357,363,409,396,358,361,348,343,
18.5,344,318,287,256,213,220,229,249,287,329,
18.6,361,313,325,367,412,389,363,361,332,403,
18.7,320,354,281,219,240,237,247,240,274,300,
18.8,304,319,341,363,385,369,373,365,363,391,
18.9,388,283,242,228,221,235,245,270,336,369,
19.0,309,364,360,384,403,376,393,376,361,341,
19.1,339,286,289,217,233,256,217,293,272,283,
19.2,336,312,319,370,353,371,363,344,384,303,
19.3,345,252,227,253,245,256,264,265,272,320,
19.4,361,375,363,375,374,380,361,377,365,332,
19.5,317,273,261,211,231,238,256,281,325,336,
19.6,317,342,363,369,376,380,360,367,337,376,
19.7,357,269,249,278,275,282,269,347,287,312,
19.8,341,385,356,353,353,348,399,320,287,304,
19.9,209,227,220,220,229,256,269,289,308,297,
20.0,365,347,373,365,361,333,405,309,303,252,
20.1,245,237,246,280,256,277,285,285,301,313,
20.2,351,349,355,377,372,355,389,366,277,233,
20.3,256,210,221,252,297,313,301,298,313,383,
20.4,360,370,377,367,355,360,408,308,329,256,
20.5,211,233,238,273,269,269,341,365,331,361,
20.6,392,366,365,381,387,337,301,286,279,201,
20.7,204,210,216,235,272,277,309,363,389,370,
20.8,357,372,384,333,335,373,286,285,211,209,
20.9,223,241,244,276,297,308,328,333,356,397,
21.0,373,367,345,353,411,349,285,292,205,213,
